serial_no,district_name,block_tehsil_name,village_name,water_body_name,latitude,longitude
1345,North 24 Parganas,Bongaon,Barakpur,TARAK MONDAL,,88.77666666666667
1279,North 24 Parganas,Bongaon,Barakpur,SUNIL MONDAL,,88.77416666666666
1346,North 24 Parganas,Bongaon,Barakpur,SHAM JOARDER,,88.77666666666667
1278,North 24 Parganas,Bongaon,Barakpur,AMIT BISWAS,,88.77777777777777
1277,North 24 Parganas,Bongaon,Barakpur,ASIT MONDAL,,88.7775
1344,North 24 Parganas,Bongaon,Barakpur,KRISHNA ADHIKARI,,
1276,North 24 Parganas,Bongaon,Barakpur,BIMOL BISWAS,,88.77666666666667
1343,North 24 Parganas,Bongaon,Barakpur,SUBAL PAUL,NULL,88.77638888888889
1281,North 24 Parganas,Bongaon,Barakpur,MONINDRANATH CHAKRABORTY,NULL,88.77444444444444
1280,North 24 Parganas,Bongaon,Barakpur,HUDUR PUKUR,NULL,88.77583333333334
1342,North 24 Parganas,Bongaon,Barakpur,GOWSAI BARI PUKUR,,88.77222222222223
9574,North 24 Parganas,Minakhan,Amadpur,POND OF JAKIR HOSSEN MOLLA NEAR CHAITAL PALLIMANGAL HIGH SCHOOL,22.517777777777777,88.78166666666667
9372,North 24 Parganas,Minakhan,Magri,POND NEAR WATER TANK ,22.405277777777776,88.75055555555555
16189,North 24 Parganas,Hasnabad,Amlani,POND OF DULAL RISHI DAS,22.58,88.90916666666668
17909,North 24 Parganas,Hasnabad,Tegharia,NEAR TEGHORIA DHALI PARA ROAD ,22.568055555555556,88.85722222222222
12195,North 24 Parganas,Habra-Ii,Sabdalpur,ASHOKE KABAHI PUKUR ,22.849444444444444,88.57
12424,North 24 Parganas,Baduria,Ishwarigachha,BDO OFFICE POND,22.735833333333336,88.77388888888889
925,North 24 Parganas,Basirhat-Ii,Chak Kalikapur,SAHIDUL ISLAM POND,22.649444444444445,88.72361111111111
13996,North 24 Parganas,Minakhan,Baligari,POND NEAR PHE PUMP HOUSE ,22.497777777777777,88.7525
3455,North 24 Parganas,Habra-Ii,Talsa,NA,22.791666666666668,88.53305555555555
13999,North 24 Parganas,Minakhan,Bargan Gopalpur,POND NEAR HEALTH CENTRE ,22.413888888888888,88.74888888888889
11152,North 24 Parganas,Habra-Ii,Talsa,NA,22.808333333333334,88.54083333333332
3457,North 24 Parganas,Habra-Ii,Talsa,NA,22.810000000000002,88.54083333333332
22441,North 24 Parganas,Minakhan,Chaital,POND BESIDES CHAITAL GP,22.5175,88.7825
11153,North 24 Parganas,Habra-Ii,Talsa,NA,22.810000000000002,88.53944444444444
3456,North 24 Parganas,Habra-Ii,Talsa,NA,22.811944444444446,88.53805555555556
8565,North 24 Parganas,Baduria,Narayanpur,BHATAR MARI PUKUR,22.766666666666666,88.76638888888888
942,North 24 Parganas,Baduria,Panji,Panji NASKAR pond,22.755555555555556,88.73722222222223
1141,North 24 Parganas,Baduria,Panji,Panji RANJAN BISWAS POND,22.753888888888888,88.73861111111111
965,North 24 Parganas,Sandeshkhali-Ii,Jeliakhali Pashchim Khanda,  SING PARA,22.361666666666668,88.82222222222222
21793,North 24 Parganas,Minakhan,Chaital,POND NEAR RATION SHOP,22.516111111111112,88.79305555555555
22883,North 24 Parganas,Minakhan,Chaital,BESIDES MADHYA CHAITAL SHIV SANGHA,22.515,88.79305555555555
1190,North 24 Parganas,Hasnabad,Shulkuniabad,BIKASH MONDAL,22.53611111111111,88.90166666666667
929,North 24 Parganas,Hasnabad,Shulkuniabad,PULAKESH MONDAL,22.53638888888889,88.90166666666667
10337,North 24 Parganas,Hasnabad,Shulkuniabad,BIBHA BASU MONDAL,22.53611111111111,88.90166666666667
10339,North 24 Parganas,Hasnabad,Shulkuniabad,PURNENDU MONDAL,22.53611111111111,88.90138888888889
1009,North 24 Parganas,Hasnabad,Shulkuniabad,GOURHARI SHOW,22.540277777777778,88.89166666666668
1018,North 24 Parganas,Hasnabad,Shulkuniabad,DEBABRATA MONDAL,22.535833333333336,88.90194444444445
15758,North 24 Parganas,Habra-Ii,Randhan Gachha,NA ,22.783333333333335,88.51583333333333
10315,North 24 Parganas,Hasnabad,Bhurkunda,BISWSJIT DAS,22.52583333333333,88.86916666666666
15757,North 24 Parganas,Habra-Ii,Randhan Gachha,RANDHANGACHA,22.784444444444446,88.51555555555555
23899,North 24 Parganas,Habra-Ii,Randhan Gachha,NA,22.784444444444446,88.51555555555555
20137,North 24 Parganas,Baduria,Pingaleswar,POND OF ZAHIDUL HAQUE BAIDYA,22.748333333333335,88.75111111111111
20138,North 24 Parganas,Baduria,Basudebpur,BASUDEBPUR MAHINUR MONDAL POND,22.735,88.74527777777777
8391,North 24 Parganas,Baduria,Naturia Srirampur,POND OF SIRAJUL AT NATURIA SRIRAMPUR,22.747500000000002,88.75416666666666
22783,North 24 Parganas,Habra-Ii,Randhan Gachha,NA,22.78611111111111,88.51416666666667
20074,North 24 Parganas,Baduria,Shimla Durgapur,POND OF ABDUL BARI AND OTHERS,22.784444444444446,88.77777777777777
13100,North 24 Parganas,Baduria,Basudebpur,PANJI POND,22.7525,88.7375
940,North 24 Parganas,Baduria,Panji,POND OF KALIDAS MONDAL AT MAMUDPUR,22.75861111111111,88.73305555555555
8392,North 24 Parganas,Baduria,Mamudpur,ASHANUL POND AT MAMUDPUR,22.754444444444445,88.73138888888889
20075,North 24 Parganas,Baduria,Atghara,POND OF SAHAJAN AND OTHERS,22.794444444444448,88.78361111111111
13130,North 24 Parganas,Baduria,Sannya,POND OF AMJEL MONDAL AND OTHERS,22.79527777777778,88.79361111
12910,North 24 Parganas,Hasnabad,Amlani,JAHANGIR MONDAL,22.57361111111111,88.90611111111112
15763,North 24 Parganas,Habra-Ii,Randhan Gachha,NA,22.787222222222223,88.51583333333333
22323,North 24 Parganas,Hasnabad,Amlani,KANU SANTRA POND,22.576944444444443,88.90944444444445
16190,North 24 Parganas,Hasnabad,Amlani,TAMAL SANTRA POND,22.576944444444443,88.90888889
8398,North 24 Parganas,Baduria,Kefayetkati,POND OF ERINA BEGUM,22.722777777777775,88.86111111
862,North 24 Parganas,Baduria,Jadurhati,ASHIM POND,22.735277777777778,88.7375
377,North 24 Parganas,Hasnabad,Ichhapur,HABIBAR SHIKARI,22.500555555555554,88.88027777777778
8387,North 24 Parganas,Baduria,Jadurhati Khaspur,RUKUN POND,22.731666666666666,88.73194444444445
1034,North 24 Parganas,Hasnabad,Ichhapur,ANOWARA BIBI,22.500833333333333,88.88111111111111
10354,North 24 Parganas,Hasnabad,Ichhapur,SUJIT KR DEY,22.50027777777778,88.88194444444444
1191,North 24 Parganas,Hasnabad,Ichhapur,MABUR MONDAL,22.503888888888888,88.885
10338,North 24 Parganas,Hasnabad,Ichhapur,ABDUL MOHIT GAZI,22.503888888888888,88.885
1019,North 24 Parganas,Hasnabad,Shulkuniabad,BISHNUPADA MONDAL,22.533333333333335,88.90083333333334
909,North 24 Parganas,Hasnabad,Shulkuniabad,PRAKASH MONDAL,22.533055555555556,88.89888888888889
11419,North 24 Parganas,Sandeshkhali-Ii,Bhangatushkhali, BIREN SARDAR,22.342499999999998,88.87611111
1096,North 24 Parganas,Sandeshkhali-Ii,Bhangatushkhali,SAIDUL MOLLA,22.343333333333334,88.875
10319,North 24 Parganas,Hasnabad,Bhurkunda,SUFIA BIBI,22.51638888888889,88.86722222222221
1030,North 24 Parganas,Hasnabad,Shulkuniabad,LILABATI MONDAL,22.533333333333335,88.89944444444446
879,North 24 Parganas,Hasnabad,Shulkuniabad,HIMANGSHU MONDAL,22.533611111111114,88.89972222222222
10336,North 24 Parganas,Hasnabad,Bhurkunda,TARIKUL MOLLA,22.516111111111112,88.86722222222221
10316,North 24 Parganas,Hasnabad,Shulkuniabad,SUJATA MONDAL,22.533611111111114,88.89944444444446
854,North 24 Parganas,Hasnabad,Shulkuniabad,TAPAS KUMAR MONDAL,22.533611111111114,88.89888888888889
10312,North 24 Parganas,Hasnabad,Bhurkunda,KISMAT GAZI,22.515833333333333,88.86611111111111
10346,North 24 Parganas,Hasnabad,Shulkuniabad,SHUSANTA MONDAL,22.53527777777778,88.89916666666667
10348,North 24 Parganas,Hasnabad,Shulkuniabad,SUJIT MONDAL,22.535,88.89916666666667
855,North 24 Parganas,Hasnabad,Ichhapur,YEDALI MONDAL,22.500833333333333,88.88277777777778
10328,North 24 Parganas,Hasnabad,Shulkuniabad,ARDHENDU MONDAL,22.536944444444448,88.89888888888889
1206,North 24 Parganas,Hasnabad,Shulkuniabad,JHARNA MONDAL,22.53222222222222,88.90027777777779
1115,North 24 Parganas,Hasnabad,Shulkuniabad,BIRENDRANATH MONDAL,22.5325,88.9
1076,North 24 Parganas,Hasnabad,Shulkuniabad,SUBHASH CHANDRA MONDAL,22.533333333333335,88.90027777777779
861,North 24 Parganas,Hasnabad,Bhurkunda,KARIM MANDAL POND,22.519166666666667,88.86444444444444
10317,North 24 Parganas,Hasnabad,Ichhapur,HAZARAT GAZI,22.50138888888889,88.88277777777778
1032,North 24 Parganas,Hasnabad,Ichhapur,KUTUBUDDIN MALLICK,22.501944444444444,88.88027777777778
952,North 24 Parganas,Hasnabad,Bhurkunda,RAJABALI MOLLA,22.51861111111111,88.865
250,North 24 Parganas,Hasnabad,Ichhapur,SAMSUR MALLICK,22.502222222222223,88.88055555555555
10307,North 24 Parganas,Hasnabad,Bhurkunda,HAFIJUL MOLLA,22.51861111111111,88.865
251,North 24 Parganas,Hasnabad,Ichhapur,MITHUN KR SARKAR,22.502222222222223,88.88027777777778
10310,North 24 Parganas,Hasnabad,Bhurkunda,NAHAR ALI MOLLA,22.51861111111111,88.86472222222221
1033,North 24 Parganas,Hasnabad,Ichhapur,HATEM GAZI POND,22.501944444444444,88.88277777777778
11057,North 24 Parganas,Sandeshkhali-Ii,Dhuchnikhali,TARIKUL GAZI S POND,22.30666666666667,88.89527777777778
10320,North 24 Parganas,Hasnabad,Ichhapur,ABDUL HAMID GAZI,22.502222222222223,88.88305555555554
10318,North 24 Parganas,Hasnabad,Bhurkunda,HASANUR RAHAMA MOLLA,22.518055555555556,88.86666666666666
1140,North 24 Parganas,Sandeshkhali-Ii,Dhuchnikhali,DHUCHNIKHALI JUNIOR BASIC SCHOOL S POND,22.30611111111111,88.88555555555556
863,North 24 Parganas,Hasnabad,Bhurkunda,BABU GAZI POND,22.518055555555556,88.86638888888888
1236,North 24 Parganas,Hasnabad,Ichhapur,HALIMA MOLLA POND,22.502222222222223,88.88333333333334
10359,North 24 Parganas,Hasnabad,Ichhapur,AIUBALI GAZI POND,22.50638888888889,88.89416666666668
1200,North 24 Parganas,Hasnabad,Ichhapur,NAZRUL ISLAM GAZI,22.49888888888889,88.885
1242,North 24 Parganas,Hasnabad,Ichhapur,BHUBAN KR MAHATO,22.497222222222224,88.885
881,North 24 Parganas,Sandeshkhali-Ii,Dhuchnikhali,FIROJ SARDAR S POND,22.313333333333333,88.89166666666668
10351,North 24 Parganas,Hasnabad,Ichhapur,HAFIJUL GAZI POND,22.495555555555555,88.88527777777779
1134,North 24 Parganas,Sandeshkhali-Ii,Dhuchnikhali,BABU GAYEN  S POND,22.309444444444445,88.89305555555556
1202,North 24 Parganas,Hasnabad,Ichhapur,SAFIKUL ISLAM GAZI,22.496944444444445,88.88416666666667
1201,North 24 Parganas,Hasnabad,Ichhapur,KUTUBUDDIN SHIKARI,22.495555555555555,88.88527777777779
10340,North 24 Parganas,Hasnabad,Ichhapur,SAJJAT SHIKARI,22.49277777777778,88.88555555555556
1172,North 24 Parganas,Hasnabad,Ichhapur,ABUL HOSSEN SHEK,22.492222222222225,88.88611111111112
10352,North 24 Parganas,Hasnabad,Ichhapur,MONIR HOSSAIN MONDAL,22.4925,88.88583333333334
16191,North 24 Parganas,Hasnabad,Amlani,PRASANTA GHOSH POND,22.569166666666668,88.90777777777778
12914,North 24 Parganas,Hasnabad,Amlani,DIPANKAR GHOSH POND,22.569444444444443,88.90777777777778
12913,North 24 Parganas,Hasnabad,Amlani,SUMANTA MONDAL POND,22.569166666666668,88.90666666666667
10313,North 24 Parganas,Hasnabad,Ichhapur,MOFIJUR RAHAMAN GAZI,22.4925,88.88166666666666
8424,North 24 Parganas,Baduria,Gokna,MOFAJEL HAQ AND OTHERS  NEAR MASJID ,22.728888888888886,88.74888888888889
22326,North 24 Parganas,Hasnabad,Amlani,GURUDAS MONDAL,22.569166666666668,88.90666666666667
10323,North 24 Parganas,Hasnabad,Ichhapur,RIYAJUL GAZI,22.492222222222225,88.88277777777778
10321,North 24 Parganas,Hasnabad,Ichhapur,ABDUL OHID SHIKARI,22.491944444444446,88.88277777777778
1207,North 24 Parganas,Hasnabad,Ichhapur,Jahangir Kabir Gazi,22.491944444444446,88.88277777777778
7340,North 24 Parganas,Hingalganj,Kalitala,POND OF PURNIMA MANDAL,22.227777777777778,89.00861111111111
7352,North 24 Parganas,Hingalganj,Kalitala,POND OF ARABINDU MANDAL,22.227777777777778,89.00861111111111
3514,North 24 Parganas,Hingalganj,Kalitala,POND OF MANABENDRA MANDAL,22.227777777777778,89.00833333333334
3538,North 24 Parganas,Hingalganj,Samsernagar,POND OF GOPAL MANDAL,22.21222222222222,89.03333333333333
3537,North 24 Parganas,Hingalganj,Samsernagar,POND OF GOPAL MANDAL,22.21222222222222,89.03333333333333
3517,North 24 Parganas,Hingalganj,Kalitala,POND OF SACHIN MANDAL,22.2275,89.00833333333334
3531,North 24 Parganas,Hingalganj,Samsernagar,POND OF DEBENDRA MANDAL,22.211944444444445,89.03388888888888
10362,North 24 Parganas,Hasnabad,Sadigachhi (Ct),GOKUL CHANDRA PAL,22.55666666666667,88.82138888888889
1022,North 24 Parganas,Hasnabad,Bhurkunda,MAHAMMAD MOLLA,22.517777777777777,88.86805555555554
3528,North 24 Parganas,Hingalganj,Samsernagar,POND OF NAREN SINGH,22.209444444444443,89.04416666666667
3522,North 24 Parganas,Hingalganj,Samsernagar,POND OF SACHIN SINGH,22.208055555555553,89.04555555555555
1238,North 24 Parganas,Hasnabad,Bhurkunda,BASHIR MONDAL,22.518055555555556,88.86805555555554
10345,North 24 Parganas,Hasnabad,Bhurkunda,PURNENDU MONDAL,22.52,88.86861111111111
1116,North 24 Parganas,Hasnabad,Ichhapur,SAMADI SARDER,22.489444444444445,88.88555555555556
10309,North 24 Parganas,Hasnabad,Ichhapur,MAMATAJ SHIKARI,22.491944444444446,88.8825
1173,North 24 Parganas,Hasnabad,Patlikhanpur,ABUBAKKAR MOLLA POND,22.522499999999997,88.93888889
10314,North 24 Parganas,Hasnabad,Sadigachhi (Ct),GOKUL CHANDRA PAL,22.55611111111111,88.82222222222222
13161,North 24 Parganas,Hasnabad,Ghoshalati,BABURALI SANA,22.508055555555554,88.87555555555555
15851,North 24 Parganas,Hingalganj,Parghumti,POND OF JASHOMATI MANDAL,22.22833333333333,89.0075
16518,North 24 Parganas,Hingalganj,Parghumti,POND OF UPENDRA NATH GAYEN,22.229166666666664,89.00694444444444
15850,North 24 Parganas,Hingalganj,Parghumti,POND OF NIRMAL MANDAL,22.22972222222222,89.00694444444444
16519,North 24 Parganas,Hingalganj,Parghumti,POND OF SANAT MANDAL,22.229999999999997,89.00694444444444
13321,North 24 Parganas,Hasnabad,Ghoshalati,DINABANDHU HALDAR,22.50777777777778,88.87361111
15839,North 24 Parganas,Hingalganj,Parghumti,POND OF BIMAL MANDAL,22.229999999999997,89.00666666666666
22117,North 24 Parganas,Hasnabad,Ghoshalati,NEMAI HALDAR,22.508055555555554,88.87416666666665
933,North 24 Parganas,Hasnabad,Patlikhanpur,ABDUL MAJID GAZI,22.52361111111111,88.93861111111111
3519,North 24 Parganas,Hingalganj,Kalitala,POND OF CHIRANJIT MISTRY,22.22972222222222,89.00777777777778
1187,North 24 Parganas,Hasnabad,Patlikhanpur,ABDUL OYAHAB GAZI,22.523055555555555,88.93833333333333
10324,North 24 Parganas,Hasnabad,Bhurkunda,BANESWAR DAS,22.52583333333333,88.87222222222222
1005,North 24 Parganas,Hasnabad,Bhurkunda,Arun Mahato,22.526944444444442,88.87527777777777
1175,North 24 Parganas,Hasnabad,Bhurkunda,SHYAMAL DAS,22.52,88.87083333333332
644,North 24 Parganas,Hingalganj,Kalitala,POND OF SWARAJIT MANDAL,22.216944444444444,89.02027777777778
3536,North 24 Parganas,Hingalganj,Samsernagar,POND OF RANJIT MANDAL,22.219166666666666,89.04055555555556
3521,North 24 Parganas,Hingalganj,Samsernagar,POND OF SUBRATA MANDAL,22.21472222222222,89.03861111111111
3520,North 24 Parganas,Hingalganj,Kalitala,POND OF SHANKAR MANDAL,22.221944444444443,89.03083333333333
3518,North 24 Parganas,Hingalganj,Kalitala,POND OF PANKAJ MANDAL,22.223611111111108,89.03138888888888
3506,North 24 Parganas,Hingalganj,Kalitala,POND SHYAMLA MANDAL AT HARIDASKATI,22.223333333333333,89.03194444444445
15765,North 24 Parganas,Habra-Ii,Randhan Gachha,NA ,22.772222222222222,88.52861111
23898,North 24 Parganas,Habra-Ii,Randhan Gachha,NS ,22.79277777777778,88.51722222222222
15766,North 24 Parganas,Habra-Ii,Randhan Gachha,NA ,22.78527777777778,88.51388888888889
22774,North 24 Parganas,Habra-Ii,Randhan Gachha,NA ,22.784444444444446,88.51555555555555
16192,North 24 Parganas,Hasnabad,Amlani,POND OF RAMESH MONDAL,22.568055555555556,88.90722222222223
16195,North 24 Parganas,Hasnabad,Amlani,DEBASHIS PRAMANNYA,22.568055555555556,88.90666666666667
16193,North 24 Parganas,Hasnabad,Amlani,JOY KUMAR MONDAL,22.568055555555556,88.90722222222223
16194,North 24 Parganas,Hasnabad,Amlani,SUKUMAR MONDAL,22.568055555555556,88.90805555555556
21421,North 24 Parganas,Hasnabad,Amlani, POND OF RENUKA MONDAL,22.568055555555556,88.90805555555556
13096,North 24 Parganas,Hasnabad,Amlani,POND OF SHYAMAL MONDAL,22.56833333333333,88.90833333333335
16196,North 24 Parganas,Hasnabad,Amlani,POND OF DEBRANJAN SARDAR,22.569166666666668,88.90833333333335
13957,North 24 Parganas,Hasnabad,Amlani,POND OF BARUN MONDAL,22.56888888888889,88.90861111111111
8417,North 24 Parganas,Baduria,Dakshin Shibpur,MANIRUJJAMAN POND OTHERS ,22.733611111111113,88.73111111111112
22785,North 24 Parganas,Habra-Ii,Tengra,NA ,22.802500000000002,88.53166666666667
16197,North 24 Parganas,Hasnabad,Amlani,POND OF RAJIB GHOSH,22.569444444444443,88.90888889
13260,North 24 Parganas,Hasnabad,Amlani,BIMAL PAL,22.569166666666668,88.90944444444445
22784,North 24 Parganas,Habra-Ii,Tengra,NA ,22.803055555555556,88.52888888888889
23468,North 24 Parganas,Habra-Ii,Tengra,NA ,22.803333333333335,88.52972222222222
15744,North 24 Parganas,Habra-Ii,Tengra,NA ,22.802777777777777,88.52972222222222
23467,North 24 Parganas,Habra-Ii,Tengra,NA ,22.802500000000002,88.53
15746,North 24 Parganas,Habra-Ii,Tengra,NA ,22.802500000000002,88.53083333333333
10825,North 24 Parganas,Minakhan,Balihati (Ct),POND NEAR BALIHATI SITOLA MANDIR,22.50861111111111,88.74333333333334
1263,North 24 Parganas,Baduria,Aturia,MAHESH RAY,22.739166666666666,88.86444444444444
1218,North 24 Parganas,Barasat-I,Maynagadi (P),,22.745555555555555,88.4775
10311,North 24 Parganas,Hasnabad,Patlikhanpur,DEBASHIS PRAMANNYA,22.51861111111111,88.94138889
1015,North 24 Parganas,Hasnabad,Patlikhanpur,NITAI GHOSH,22.522222222222222,88.94333333333334
13375,North 24 Parganas,Sandeshkhali-Ii,Korakati,PRONAB ROY S POND,22.274444444444445,88.87666666666667
13299,North 24 Parganas,Sandeshkhali-Ii,Korakati,TARAPADA GAYEN S POND,22.26833333333333,88.88388888888889
13377,North 24 Parganas,Sandeshkhali-Ii,Korakati,MRIGANKA MUKHARJEE S POND,22.270833333333332,88.88666666666667
16437,North 24 Parganas,Sandeshkhali-Ii,Korakati,BIPIN ER GOI,22.280833333333334,88.8825
13378,North 24 Parganas,Sandeshkhali-Ii,Korakati,GOPAL MONDAL S POND,22.281388888888888,88.88222222222221
13252,North 24 Parganas,Sandeshkhali-Ii,Korakati,SUDIPTA MONDAL S POND,22.28111111111111,88.88277777777778
13256,North 24 Parganas,Sandeshkhali-Ii,Korakati,DHARANI BAIDYA S POND,22.280833333333334,88.87888888888888
13370,North 24 Parganas,Sandeshkhali-Ii,Korakati,TANMAY MONDAL S POND,22.281944444444445,88.87805555555555
23203,North 24 Parganas,Sandeshkhali-Ii,Korakati,SURENDRA NATH BAIDYA S POND,22.281666666666666,88.87833333333333
13246,North 24 Parganas,Sandeshkhali-Ii,Korakati,PRAVAT MONDAL S POND ,22.28527777777778,88.87861111
13247,North 24 Parganas,Sandeshkhali-Ii,Korakati,SHYAMAPADA MONDAL S POND ,22.285555555555558,88.87916666666666
9370,North 24 Parganas,Minakhan,Magri,POND NEAR CHIKER MORE,22.410555555555554,88.75472222222223
1039,North 24 Parganas,Sandeshkhali-Ii,Bhangatushkhali,CHOPAN MOLLA,22.343333333333334,88.87527777777777
13376,North 24 Parganas,Sandeshkhali-Ii,Korakati,MANORANJAN MONDAL S POND,22.27027777777778,88.88805555555557
20494,North 24 Parganas,Sandeshkhali-Ii,Korakati,NITAI ROY S POND,22.27638888888889,88.88388888888889
13116,North 24 Parganas,Sandeshkhali-Ii,Korakati,BIPUL SARDAR S POND ,22.285833333333336,88.88305555555554
23205,North 24 Parganas,Sandeshkhali-Ii,Korakati,PURBA KORAKATI JUNIOR BASIC SCHOOL S POND,22.29361111111111,88.88638889
8724,North 24 Parganas,Sandeshkhali-Ii,Dhuchnikhali,,22.29361111111111,88.88972222222223
8360,North 24 Parganas,Baduria,Aturia,,22.752777777777776,88.86416666666666
1230,North 24 Parganas,Minakhan,Magri,POND NEAR MAGRI MADRASHA ,22.404722222222222,88.75277777777778
16578,North 24 Parganas,Hingalganj,Parghumti,POND OF MANINDRA MANDAL,22.227777777777778,89.00722222222223
16641,North 24 Parganas,Minakhan,Sahebkhali,POND NEAR KALI MONDIR,22.52777777777778,88.78861111111111
15849,North 24 Parganas,Hingalganj,Parghumti,POND OF SUKUMAR KAYAL,22.230555555555554,89.01722222222222
16510,North 24 Parganas,Hingalganj,Parghumti,POND OF SUKUMAR KAYAL,22.230555555555554,89.01722222222222
15846,North 24 Parganas,Hingalganj,Parghumti,POND OF ANANTA MANDAL,22.241111111111113,88.99388888888889
15847,North 24 Parganas,Hingalganj,Parghumti,POND OF PARESH MANDAL,22.243333333333336,89.00694444444444
1133,North 24 Parganas,Sandeshkhali-Ii,Bhangatushkhali,EMAIN MOLLA,22.343333333333334,88.87527777777777
1092,North 24 Parganas,Sandeshkhali-Ii,Bhangatushkhali,BAPPA MOLLA,22.343333333333334,88.87527777777777
991,North 24 Parganas,Gaighata,Barasehana,SAFIKUL MONDAL,22.990000000000002,88.80666666666666
13369,North 24 Parganas,Hingalganj,Patghara,POND OF SHIBAPADA HOWLI,22.27777777777778,88.96972222222223
1262,North 24 Parganas,Hasnabad,Haripur,BHAJO RISHI DAS,22.59361111111111,88.91583333333334
10556,North 24 Parganas,Hasnabad,Haripur,POND OF KHAGEN RISHI DAS,22.593888888888888,88.91777777777779
1261,North 24 Parganas,Hasnabad,Haripur,AKBAR SEKH POND,22.598333333333333,88.91444444444446
1260,North 24 Parganas,Hasnabad,Haripur,WARES SEKH,22.5975,88.91444444444446
10496,North 24 Parganas,Hasnabad,Haripur,FARUK SARDAR,22.598055555555554,88.91333333333334
6230,North 24 Parganas,Hasnabad,Haripur,TARIKUL GAZI,22.590555555555554,88.90333333333334
23039,North 24 Parganas,Sandeshkhali-Ii,Khulna,KHULNA FP POND,22.349166666666665,88.90638889
13302,North 24 Parganas,Hasnabad,Ghoshalati,Abdul Mazed Gazi,22.50638888888889,88.87722222222222
13206,North 24 Parganas,Hasnabad,Ghoshalati,YADALI MOLLA ,22.50583333333333,88.87777777777777
13350,North 24 Parganas,Hasnabad,Ghoshalati,Sabujan Bibi ,22.5075,88.87638888888888
23743,North 24 Parganas,Sandeshkhali-Ii,Dwarir Jangle,BIMAL SINGHA POND,22.357222222222223,88.88388888888889
13399,North 24 Parganas,Hasnabad,Ghoshalati,KALINATH SARDAR,22.50861111111111,88.87583333333333
13301,North 24 Parganas,Hasnabad,Ghoshalati,JAYDEV SARDAR ,22.50861111111111,88.87583333333333
13363,North 24 Parganas,Hasnabad,Ghoshalati,RABIN BACHHAR ,22.50861111111111,88.875
13065,North 24 Parganas,Hasnabad,Ghoshalati,PARESH SARDAR,22.50861111111111,88.87416666666665
960,North 24 Parganas,Sandeshkhali-Ii,Bhangatushkhali,KUDUS MOLLA,22.343055555555555,88.87555555555555
13997,North 24 Parganas,Minakhan,Kushangra,POND OF PQRESH CHANDRA PAUL,22.52027777777778,88.70611111111111
19786,North 24 Parganas,Minakhan,Jaygram,POND NEAR NIMAI MANNA,22.50638888888889,88.73361111111112
6308,North 24 Parganas,Minakhan,Kadihati,PACHIM KADIHATI MASJID POND,22.467777777777776,88.71166666666667
1757,North 24 Parganas,Minakhan,Kadihati,POND NEAR MASJID,22.46611111111111,88.71166666666667
4478,North 24 Parganas,Minakhan,Uttar Akratala,POND NEAR NISHIKANTA KARAN ,22.50861111111111,88.82416666666666
23814,North 24 Parganas,Sandeshkhali-Ii,Daudpur,KAMALESH MONDAL,22.270555555555553,88.83111111111111
4477,North 24 Parganas,Minakhan,Uttar Akratala,POND OF SAIBAL SEHEKAR PATRA  ,22.52111111111111,88.80166666666666
4476,North 24 Parganas,Minakhan,Uttar Akratala,POND NEAR MONDIR BAROARITALA,22.506944444444443,88.8275
4475,North 24 Parganas,Minakhan,Uttar Akratala,POND NEAR HARI MONDIR,22.517777777777777,88.8275
4474,North 24 Parganas,Minakhan,Uttar Akratala,NEAR NISHIKANTA KARAN POND,22.501944444444444,88.82277777777777
6302,North 24 Parganas,Minakhan,Kadihati,POND NEAR ABDUL SK HOUSE,22.46222222222222,88.71555555555555
12196,North 24 Parganas,Habra-Ii,Sabdalpur,SANER GHAT ,22.8475,88.56722222222221
12197,North 24 Parganas,Habra-Ii,Sabdalpur,PAGLA PUKUR,22.847777777777775,88.56972222222223
11151,North 24 Parganas,Habra-Ii,Sabdalpur,POUD PUKUR ,22.847777777777775,88.56972222222223
11150,North 24 Parganas,Habra-Ii,Sabdalpur,PAUL PUKUR ,22.848333333333333,88.57083333333333
11146,North 24 Parganas,Habra-Ii,Sabdalpur,KIRKI PUKUR ,22.84861111111111,88.56972222222223
12198,North 24 Parganas,Habra-Ii,Sabdalpur,KIRKI PUKUR ,22.84861111111111,88.56972222222223
978,North 24 Parganas,Habra-Ii,Sabdalpur,PARESH PUKUR ,22.847777777777775,88.56972222222223
11140,North 24 Parganas,Habra-Ii,Sabdalpur,BAMON  PUKUR ,22.847777777777775,88.56972222222223
1071,North 24 Parganas,Habra-Ii,Sabdalpur,SARDER PUKUR ,22.848333333333333,88.57055555555556
989,North 24 Parganas,Sandeshkhali-Ii,Bhangatushkhali,EMAN MOLLA,22.343333333333334,88.87527777777777
1268,North 24 Parganas,Sandeshkhali-Ii,Bhangatushkhali,FAZAR DHALI,22.343333333333334,88.87527777777777
11420,North 24 Parganas,Sandeshkhali-Ii,Bhangatushkhali,OMAR FARUK MOLLA,22.343333333333334,88.87527777777777
6301,North 24 Parganas,Minakhan,Kadihati,KADIHATI THAKURTALA POND,22.464444444444442,88.71416666666667
6300,North 24 Parganas,Minakhan,Kadihati,POND NEAR GP OFFICE ,22.467777777777776,88.71333333333334
6299,North 24 Parganas,Minakhan,Kadihati,POND NEAR GP OFFICE ,22.46833333333333,88.7125
